name,policy_index,servo_id,reference,reference_rad,expected_step,measured_median_step,measured_min_step,measured_max_step,error_steps,error_rad_equivalent,error_deg_equivalent,status
leg_left_hip_roll_joint,0,1,model-zero,0.0,2060,2065.0,2065,2065,5.0,-0.007669903939428206,-0.439453125,PASS
leg_left_hip_yaw_joint,1,2,model-zero,0.0,2043,2043.0,2043,2043,0.0,-0.0,-0.0,PASS
leg_left_hip_pitch_joint,2,3,model-zero,0.0,2155,2154.0,2154,2154,-1.0,0.0015339807878856412,0.087890625,PASS
leg_left_knee_pitch_joint,3,4,model-zero,0.0,1701,1700.0,1700,1700,-1.0,0.0015339807878856412,0.087890625,PASS
leg_left_ankle_pitch_joint,4,5,model-zero,0.0,1731,1731.0,1731,1731,0.0,0.0,0.0,PASS
leg_left_ankle_roll_joint,5,6,model-zero,0.0,1979,1978.0,1978,1978,-1.0,-0.0015339807878856412,-0.087890625,PASS
leg_right_hip_roll_joint,6,7,model-zero,0.0,2051,2050.0,2050,2050,-1.0,-0.0015339807878856412,-0.087890625,PASS
leg_right_hip_yaw_joint,7,8,model-zero,0.0,2051,2047.0,2047,2047,-4.0,-0.006135923151542565,-0.3515625,PASS
leg_right_hip_pitch_joint,8,9,model-zero,0.0,2097,2096.0,2096,2096,-1.0,-0.0015339807878856412,-0.087890625,PASS
leg_right_knee_pitch_joint,9,10,model-zero,0.0,2356,2356.0,2356,2356,0.0,0.0,0.0,PASS
leg_right_ankle_pitch_joint,10,11,model-zero,0.0,2325,2321.0,2321,2321,-4.0,0.006135923151542565,0.3515625,PASS
leg_right_ankle_roll_joint,11,12,model-zero,0.0,2051,2054.0,2054,2054,3.0,-0.0046019423636569235,-0.263671875,PASS
