policy_index,name,servo_id,servo_sign,center_step,training_default_rad,min_rad,max_rad,min_step,max_step,speed,acceleration
0,leg_left_hip_roll_joint,1,-1,2041,0.0,-0.6948932969121955,0.7807962210337913,1532,2494,0,0
1,leg_left_hip_yaw_joint,2,-1,2027,0.0,-0.08897088569736719,0.6442719309119693,1607,2085,0,0
2,leg_left_hip_pitch_joint,3,-1,2110,-0.1,-1.9220779272207085,0.6810874698212247,1666,3363,0,0
3,leg_left_knee_pitch_joint,4,-1,2051,0.4,0.1349903093339364,2.2350100079493793,594,1963,0,0
4,leg_left_ankle_pitch_joint,5,1,2024,-0.3,-0.8099418560036186,0.7102331047910518,1496,2487,0,0
5,leg_left_ankle_roll_joint,6,1,2021,0.0,-0.5138835639416898,0.9127185687919565,1686,2616,0,0
6,leg_right_hip_roll_joint,7,1,2038,0.0,-0.8743690490948155,0.6427379501240836,1468,2457,0,0
7,leg_right_hip_yaw_joint,8,1,2040,0.0,-0.056757289151768725,0.701029220063738,2003,2497,0,0
8,leg_right_hip_pitch_joint,9,1,2123,-0.1,-1.9911070626755623,0.5460971604872883,825,2479,0,0
9,leg_right_knee_pitch_joint,10,1,2051,0.4,0.1718058482431918,2.2411459311009216,2163,3512,0,0
10,leg_right_ankle_pitch_joint,11,-1,2077,-0.3,-0.8452234141249882,0.8191457407309324,1543,2628,0,0
11,leg_right_ankle_roll_joint,12,-1,2058,0.0,-0.4433204476989503,1.0615147052168636,1366,2347,0,0
