node,parameter,default_or_v25_value,source
bhl_st3215_driver,port,/dev/ttyS3,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,baud,1000000,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,joint_map_path,,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,bus_rate_hz,50.0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,command_rate_hz,50.0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,joint_state_publish_hz,50.0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,diagnostics_rate_hz,1.0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,read_timeout_ms,10,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,write_timeout_ms,5,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,command_timeout_ms,500,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,command_timeout_behavior,hold_last,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,writes_enabled,False,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,require_full_feedback_before_writes,True,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,startup_hold_current_position,True,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,skip_unchanged_writes,False,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,write_keepalive_ms,200,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,rotate_read_order,True,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,read_order_stride,1,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,velocity_filter_alpha,0.3,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,velocity_deadband_rad_s,0.001,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,default_speed,0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,default_acceleration,0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,compact_joint_state,True,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,frame_id,st3215_bus,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,max_feedback_warn_age_ms,250,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,diagnostic_window_cycles,500,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,publish_legacy_debug_string,False,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,publish_target_debug_string,True,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,worker_cpu,-1,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,realtime_priority,0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,servo_target_topic,/servo_target_radians,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,joint_state_topic,/joint_states,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,feedback_age_topic,/joint_feedback_age_ms,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,raw_position_topic,/st3215_driver/raw_position_steps,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,raw_speed_topic,/st3215_driver/raw_speed,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,telemetry_topic,/st3215_driver/telemetry,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,diagnostics_topic,/st3215_driver/diagnostics,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,legacy_debug_topic,/st3215_feedback_debug,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,target_debug_topic,/servo_target_steps_debug,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,default_pose_move_duration_sec,4.0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,default_pose_ramp_rate_hz,50.0,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,default_pose_hold_after_move,True,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,move_default_pose_service,/st3215_driver/move_to_default_pose,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,abort_pose_move_service,/st3215_driver/abort_pose_move,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,hold_current_pose_service,/st3215_driver/hold_current_pose,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,release_pose_override_service,/st3215_driver/release_pose_override,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,disable_torque_all_service,/st3215_driver/disable_torque_all,bhl_st3215_driver/config/servo_driver.yaml
bhl_st3215_driver,enable_torque_hold_current_service,/st3215_driver/enable_torque_hold_current,bhl_st3215_driver/config/servo_driver.yaml
pd_controller_node,joint_map_path,,pd_controller_pkg/config/pd_config.yaml
